Protein Accession	DNA Accession	ARO Category Name	ARO Accession
YP_007878372.1	NC_021076.1	antibiotic resistant gene variant or mutant	ARO:0000031
ADH03009.1	HM036080	aminoglycoside resistance gene	ARO:3000104
ADH03009.1	HM036080	antibiotic inactivation enzyme	ARO:3000557
AAA03550.1	L06156	aminoglycoside resistance gene	ARO:3000104
AAA03550.1	L06156	antibiotic inactivation enzyme	ARO:3000557
AAC44793.1	U41471	aminoglycoside resistance gene	ARO:3000104
AAC44793.1	U41471	antibiotic inactivation enzyme	ARO:3000557
CCP42991.1	AL123456	aminoglycoside resistance gene	ARO:3000104
CCP42991.1	AL123456	antibiotic inactivation enzyme	ARO:3000557
AAB41701.1	U72743	aminoglycoside resistance gene	ARO:3000104
AAB41701.1	U72743	antibiotic inactivation enzyme	ARO:3000557
AAG15269.1	U12338	aminoglycoside resistance gene	ARO:3000104
AAG15269.1	U12338	antibiotic inactivation enzyme	ARO:3000557
AAA88422.1	L06157	aminoglycoside resistance gene	ARO:3000104
AAA88422.1	L06157	antibiotic inactivation enzyme	ARO:3000557
AAL82588.1	AF355189	aminoglycoside resistance gene	ARO:3000104
AAL82588.1	AF355189	antibiotic inactivation enzyme	ARO:3000557
CAD53575.1	AJ511268	aminoglycoside resistance gene	ARO:3000104
CAD53575.1	AJ511268	antibiotic inactivation enzyme	ARO:3000557
AAR21614.1	AY458224	aminoglycoside resistance gene	ARO:3000104
AAR21614.1	AY458224	antibiotic inactivation enzyme	ARO:3000557
CAA31895.1	X13543	aminoglycoside resistance gene	ARO:3000104
CAA31895.1	X13543	antibiotic inactivation enzyme	ARO:3000557
AAA26548.1	M97172	aminoglycoside resistance gene	ARO:3000104
AAA26548.1	M97172	antibiotic inactivation enzyme	ARO:3000557
CAA38525.1	X54723	aminoglycoside resistance gene	ARO:3000104
CAA38525.1	X54723	antibiotic inactivation enzyme	ARO:3000557
CAA39184.1	X55652	aminoglycoside resistance gene	ARO:3000104
CAA39184.1	X55652	antibiotic inactivation enzyme	ARO:3000557
AAA25682.1	L06160	aminoglycoside resistance gene	ARO:3000104
AAA25682.1	L06160	antibiotic inactivation enzyme	ARO:3000557
AAA25683.1	L06161	aminoglycoside resistance gene	ARO:3000104
AAA25683.1	L06161	antibiotic inactivation enzyme	ARO:3000557
ABB43029.1	DQ241380.1	aminoglycoside resistance gene	ARO:3000104
ABB43029.1	DQ241380.1	antibiotic inactivation enzyme	ARO:3000557
AAA25334.1	M55427	aminoglycoside resistance gene	ARO:3000104
AAA25334.1	M55427	antibiotic inactivation enzyme	ARO:3000557
AAA16194.1	M88012	aminoglycoside resistance gene	ARO:3000104
AAA16194.1	M88012	antibiotic inactivation enzyme	ARO:3000557
AAA88552.1	M22999	aminoglycoside resistance gene	ARO:3000104
AAA88552.1	M22999	antibiotic inactivation enzyme	ARO:3000557
AAA26685.1	M55426	aminoglycoside resistance gene	ARO:3000104
AAA26685.1	M55426	antibiotic inactivation enzyme	ARO:3000557
BAA78619.1	AB028210	aminoglycoside resistance gene	ARO:3000104
BAA78619.1	AB028210	antibiotic inactivation enzyme	ARO:3000557
AAK26252.2	AF263519	aminoglycoside resistance gene	ARO:3000104
AAK26252.2	AF263519	antibiotic inactivation enzyme	ARO:3000557
ACI31326.1	EU118148	aminoglycoside resistance gene	ARO:3000104
ACI31326.1	EU118148	antibiotic inactivation enzyme	ARO:3000557
CAE48335.2	AJ584652	aminoglycoside resistance gene	ARO:3000104
CAE48335.2	AJ584652	antibiotic inactivation enzyme	ARO:3000557
CAK55557.1	AM283489	aminoglycoside resistance gene	ARO:3000104
CAK55557.1	AM283489	antibiotic inactivation enzyme	ARO:3000557
ABR10839.1	EF614235	aminoglycoside resistance gene	ARO:3000104
ABR10839.1	EF614235	antibiotic inactivation enzyme	ARO:3000557
AEZ05106.1	JN596280	aminoglycoside resistance gene	ARO:3000104
AEZ05106.1	JN596280	antibiotic inactivation enzyme	ARO:3000557
AAP43642.1	AY289608	aminoglycoside resistance gene	ARO:3000104
AAP43642.1	AY289608	antibiotic inactivation enzyme	ARO:3000557
AAA98298.1	M18967	aminoglycoside resistance gene	ARO:3000104
AAA98298.1	M18967	antibiotic inactivation enzyme	ARO:3000557
NP_460578.1	NC_003197	aminoglycoside resistance gene	ARO:3000104
NP_460578.1	NC_003197	antibiotic inactivation enzyme	ARO:3000557
BAD12078.1	AB119105	aminoglycoside resistance gene	ARO:3000104
BAD12078.1	AB119105	antibiotic inactivation enzyme	ARO:3000557
BAD14386.1	AB104852	aminoglycoside resistance gene	ARO:3000104
BAD14386.1	AB104852	antibiotic inactivation enzyme	ARO:3000557
BAH66386.1	AB462903	aminoglycoside resistance gene	ARO:3000104
BAH66386.1	AB462903	antibiotic inactivation enzyme	ARO:3000557
ACI28880.1	EU886977	aminoglycoside resistance gene	ARO:3000104
ACI28880.1	EU886977	antibiotic inactivation enzyme	ARO:3000557
BAM46120.1	AB709942	aminoglycoside resistance gene	ARO:3000104
BAM46120.1	AB709942	antibiotic inactivation enzyme	ARO:3000557
BAO21229.1	AB894482	aminoglycoside resistance gene	ARO:3000104
BAO21229.1	AB894482	antibiotic inactivation enzyme	ARO:3000557
AAA26550.1	M23634	aminoglycoside resistance gene	ARO:3000104
AAA26550.1	M23634	antibiotic inactivation enzyme	ARO:3000557
AAT74613.1	AY660529.1	aminoglycoside resistance gene	ARO:3000104
AAT74613.1	AY660529.1	antibiotic inactivation enzyme	ARO:3000557
AAC46343.1	U59183	aminoglycoside resistance gene	ARO:3000104
AAC46343.1	U59183	antibiotic inactivation enzyme	ARO:3000557
AAN41403.1	AY136758	aminoglycoside resistance gene	ARO:3000104
AAN41403.1	AY136758	antibiotic inactivation enzyme	ARO:3000557
ACS44715.1	FJ854362	aminoglycoside resistance gene	ARO:3000104
ACS44715.1	FJ854362	antibiotic inactivation enzyme	ARO:3000557
AAL38577.1	AF445082	aminoglycoside resistance gene	ARO:3000104
AAL38577.1	AF445082	antibiotic inactivation enzyme	ARO:3000557
AKN19287.1	Y11946.1	aminoglycoside resistance gene	ARO:3000104
AKN19287.1	Y11946.1	antibiotic inactivation enzyme	ARO:3000557
YP_009062819.1	NC_025003.1	aminoglycoside resistance gene	ARO:3000104
YP_009062819.1	NC_025003.1	antibiotic inactivation enzyme	ARO:3000557
AAD02244.1	AF043381	aminoglycoside resistance gene	ARO:3000104
AAD02244.1	AF043381	antibiotic inactivation enzyme	ARO:3000557
ABC17627.1	DQ303918	aminoglycoside resistance gene	ARO:3000104
ABC17627.1	DQ303918	antibiotic inactivation enzyme	ARO:3000557
ABC17627.1	DQ303918	fluoroquinolone resistance gene	ARO:3000102
ACL37342.1	FJ503047	aminoglycoside resistance gene	ARO:3000104
ACL37342.1	FJ503047	antibiotic inactivation enzyme	ARO:3000557
BAD11815.1	AB164230	aminoglycoside resistance gene	ARO:3000104
BAD11815.1	AB164230	antibiotic inactivation enzyme	ARO:3000557
ABU55430.1	EU085533	aminoglycoside resistance gene	ARO:3000104
